i	I
asm	assume
asmd	assumed
asms	assumes
q	at
atk	attack
atkd	attacked
atkg	attacking
atks	attacks
atp	attempt
atps	attempts
atpd	attempted
att	attention
atu	attitude
atus	attitudes
aty	attorney
atys	attorneys
xxx	audience
xxx	authority
avb	available
avg	average
avgs	averages
avd	avoid
avdg	avoiding
avds	avoids
awr	aware
aw	away
bb	baby
bbs	babies
bk	back
bkgd	background
bkg	backing
bks	backs
xxx	bad
xxx	balance
xxx	ball
xxx	bank
xxx	bar
xxx	base
xxx	baseball
xxx	based
xxx	basic
xxx	basis
bbl	basketball
bbls	basketballs
btl	battle
btls	battles
b	be
bch	beach
bchs	beaches
br	bear
brs	bears
bt	beat
bts	beats
btf	beautiful
bty	beauty
btys	beauties
bca	became
bc	because
bcm	become
bcms	becomes
bcmg	becoming
bn	been
bf	before
bga	began
bgn	begin
bgnr	beginner
bgnz	beginners
bgng	beginning
bgnj	beginnings
bgns	begins
bgu	begun
bv	behave
bvs	behaves
bvr	behavior
bhd	behind
bg	being
bgs	beings
blf	belief
blfs	beliefs
blv	believe
blvd	believed
blg	belong
blgd	belonged
blgg	belonging
blgs	belongs
blw	below
bnh	beneath
bnf	benefit
bnfs	benefits
bsd	beside
bsds	besides
bs	best
btr	better
btn	between
byd	beyond
bi	big
bir	bigger
bl	bill
bln	billion
xxx	birds
xxx	birth
xxx	bit
bak	black
bok	block
boks	blocks
xxx	blood
xxx	blue
brd	board
brds	boards
xxx	boat
bd	body
bds	bodies
xxx	book
xxx	books
xxx	born
bo	both
xxx	bottle
btm	bottom
btms	bottoms
xxx	bought
xxx	box
xxx	boy
xxx	boys
brk	break
brks	breaks
brkg	breaking
brkn	broken
xxx	bridge
brf	brief
xxx	bright
brg	bring
brgg	bringing
brgs	brings
xxx	broad
xxx	broke
xxx	broken
xxx	brother
brt	brought
xxx	brown
xxx	budget
bld	build
bldr	builder
bldz	builders
bldg	building
bldj	buildings
blds	builds
blt	built
bz	business
bzs	businesses
xxx	busy
bu	but
cl	call
cld	called
clr	caller
clz	callers
clg	calling
cls	calls
ca	came
xxx	camp
xxx	campaign
c	can
ct	can't
cn	cannot
cpb	capable
xxx	capacity
cptl	capital
cptn	captain
xxx	car
xxx	care
xxx	career
xxx	careful
xxx	carefully
xxx	carried
xxx	carry
xxx	carrying
xxx	cars
cs	case
css	cases
xxx	cattle
xxx	caught
xxx	cause
xxx	caused
xxx	causes
xxx	cell
xxx	cells
xxx	cent
ctr	center
xxx	central
xxx	century
ce	certain
cey	certainly
xxx	chair
xxx	chairman
xxx	chance
cg	change
cgd	changed
cgs	changes
cgg	changing
chp	chapter
chps	chapters
chr	character
chrc	characteristic
chz	characters
chg	charge
chgs	charges
chgd	charged
ck	check
ckd	checked
ckr	checker
ckz	checkers
ckg	checking
cks	checks
xxx	chemical
chf	chief
chd	child
chdn	children
chc	choice
chcs	choices
chs	chose
chsn	chosen
chh	church
chhs	churches
ccl	circle
xxx	circumstances
xxx	cities
xxx	citizens
xxx	city
xxx	civil
xxx	claim
xxx	claims
xxx	class
xxx	classes
xxx	clay
xxx	clean
cle	clear
cled	cleared
cler	clearer
clet	clearest
cleg	clearing
clej	clearings
cley	clearly
clez	clears
xxx	close
xxx	closed
xxx	closely
xxx	closer
xxx	clothes
xxx	club
xxx	coast
xxx	coffee
xxx	cold
cll	collect
clld	collected
cllg	collecting
clln	collection
cllx	collections
cllr	collector
clls	collects
xxx	college
xxx	color
xxx	column
xxx	combination
cm	come
cms	comes
cmg	coming
xxx	command
xxx	commerce
com	commercial
comy	commercially
coms	commercials
xxx	commission
xxx	committee
cmn	common
cmny	commonly
xxx	communication
xxx	communism
xxx	communist
xxx	community
cmys	companies
cmy	company
xxx	compared
xxx	competition
cmt	complete
cmtd	completed
cmty	completely
cmts	completes
cmtg	completing
cmtn	completion
xxx	complex
xxx	components
cnc	concept
cncs	concepts
cncl	conceptual
xxx	concern
xxx	concerned
xxx	concerning
xxx	conclusion
cnd	condition
cndl	conditional
cndy	conditionally
cnds	conditions
xxx	conduct
xxx	conducted
xxx	conference
xxx	confidence
xxx	congo
xxx	congress
xxx	connection
xxx	consider
xxx	considerable
xxx	considered
xxx	constant
xxx	construction
xxx	contact
xxx	contained
xxx	contemporary
cxt	context
cxts	contexts
con	continue
cond	continued
cons	continues
cong	continuing
xxx	contract
xxx	contrast
ctl	control
ctld	controlled
ctlr	controller
ctlz	controllers
ctlg	controlling
ctls	controls
xxx	cool
xxx	corner
xxx	corporation
xxx	corps
crr	correct
crrd	corrected
crrg	correcting
crrn	correction
crrx	corrections
crrv	corrective
crry	correctly
crrs	corrects
xxx	cost
xxx	costs
cd	could
cdt	couldn't
xxx	council
cnt	count
cntd	counted
cntr	counter
cntz	counters
cntg	counting
cnys	countries
cny	country
cnts	counts
xxx	county
cpl	couple
cpld	coupled
cpls	couples
cplg	coupling
crs	course
crss	courses
xxx	court
xxx	cover
xxx	covered
xxx	created
xxx	credit
xxx	crisis
xxx	critical
xxx	cross
xxx	cultural
xxx	culture
cur	current
cury	currently
xxx	cut
xxx	cutting
dly	daily
dnc	dance
dncd	danced
dncg	dancing
dncr	dancer
xxx	danger
dk	dark
xxx	data
xxx	date
xxx	daughter
dy	day
dys	days
xxx	dead
xxx	deal
xxx	death
xxx	december
xxx	decided
xxx	decision
xxx	declared
dcr	decrease
dcrd	decreased
dcrs	decreases
dcrg	decreasing
dp	deep
xxx	defense
def	definite
defy	definitely
defn	definition
defx	definitions
xxx	degree
xxx	demand
xxx	demands
xxx	democratic
dm	demonstration
dms	demonstrations
xxx	department
xxx	described
xxx	design
xxx	designed
xxx	desire
xxx	desk
xxx	despite
xxx	detail
xxx	details
xxx	determine
xxx	determined
dv	develop
dvg	developing
dvd	developed
dvt	development
dvts	developments
dvc	device
dvcs	devices
xxx	dictionary
dd	did
ddt	didn't
xxx	die
xxx	died
dfc	difference
dfcs	differences
df	different
dfy	differently
xxx	difficult
xxx	difficulty
xxx	dinner
dir	direct
dird	directed
dirg	directing
dirn	direction
dirx	directions
diry	directly
xxx	director
dirs	directs
xxx	discovered
xxx	discussed
xxx	discussion
xxx	distance
xxx	distribution
xxx	district
xxx	divided
xxx	division
xxx	do
xxx	doctor
dc	document
dcn	documentation
dcd	documented
dcg	documenting
dcs	documents
ds	does
dst	doesn't
xxx	dog
xxx	dogs
dg	doing
dgs	doings
dl	dollar
dls	dollars
xxx	domestic
xxx	dominant
dt	don't
xxx	done
xxx	door
dbl	double
dbld	doubled
dbls	doubles
dblg	doubling
dbt	doubt
dn	down
xxx	dramatic
xxx	draw
xxx	drawn
xxx	dream
xxx	dress
xxx	drew
xxx	drink
xxx	drive
drp	drop
drpd	dropped
drpg	dropping
xxx	drove
xxx	dry
xxx	due
dur	during
xxx	dust
xxx	duty
ea	each
xxx	earlier
xxx	early
xxx	earth
xxx	easily
xxx	east
xxx	easy
xxx	eat
xxx	economic
xxx	economy
xxx	edge
xxx	editor
edu	education
xxx	educational
ef	effect
efv	effective
efy	effectively
efs	effects
eft	effort
efts	efforts
xxx	eight
ei	either
xxx	election
xxx	electric
xxx	electronic
xxx	elements
el	else
xxx	emotional
xxx	emphasis
xxx	employees
xxx	empty
xxx	end
xxx	ended
xxx	ends
xxx	enemy
xxx	energy
xxx	england
xxx	english
xxx	enjoyed
en	enough
xxx	enter
xxx	entered
xxx	entire
xxx	entirely
xxx	entitled
xxx	entrance
xxx	equal
xxx	equally
xxx	equipment
eqv	equivalent
xxx	escape
esp	especially
xxx	essential
xxx	establish
xxx	established
xxx	estimated
xxx	etc
xxx	europe
xxx	european
evl	evaluate
evld	evaluated
evls	evaluates
evlg	evaluating
evln	evaluation
evlx	evaluations
ev	even
evd	evened
evg	evening
evt	event
evts	events
er	ever
ey	every
eyb	everybody
eyd	everyday
eyo	everyone
eyg	everything
eyt	everytime
eyr	everywhere
evc	evidence
xxx	evident
xxx	evil
evs	evils
xxx	exactly
exm	example
exms	examples
xxx	excellent
exc	except
excn	exception
excx	exceptions
exh	exchange
exhd	exchanged
exhs	exchanges
exhg	exchanging
exl	exclude
exld	excluded
exls	excludes
exlg	excluding
exln	exclusion
exlx	exclusions
exlv	exclusive
exly	exclusively
exe	execute
exed	executed
exes	executes
exeg	executing
exen	execution
exex	executions
exev	executive
xxx	exercise
xxx	exist
xxx	existence
xxx	existing
ect	expect
ectd	expected
ectg	expecting
ects	expects
exp	experience
expd	experienced
exps	experiences
expg	experiencing
xxx	experiment
xxx	experiments
xxx	explain
xxx	explained
exr	express
exrd	expressed
exrs	expresses
exrg	expressing
exrn	expression
exrx	expressions
exrv	expressive
xxx	extended
ext	extension
exts	extensions
xxx	extent
xxx	extreme
xxx	eye
xxx	eyes
fc	face
fcd	faced
fcs	faces
xxx	facilities
fcg	facing
ft	fact
xxx	factor
xxx	factors
fts	facts
xxx	faculty
xxx	failed
xxx	failure
xxx	fair
xxx	fairly
xxx	faith
xxx	fall
xxx	familiar
fams	families
fam	family
xxx	famous
xxx	far
xxx	farm
xxx	fashion
xxx	fast
xxx	fat
xxx	father
xxx	favor
fab	favorable
fa	favorite
fas	favorites
xxx	fear
xxx	features
xxx	federal
xxx	feed
xxx	feel
xxx	feeling
xxx	feelings
xxx	feet
xxx	fell
xxx	fellow
xxx	felt
fu	few
fur	fewer
fut	fewest
fld	field
flds	fields
xxx	fifteen
xxx	fifty
xxx	fig
xxx	fight
xxx	fighting
xxx	figure
xxx	figures
xxx	file
xxx	filled
xxx	film
fna	final
fnay	finally
xxx	financial
fd	find
fdg	finding
fds	finds
xxx	fine
xxx	fingers
xxx	finished
xxx	fire
xxx	firm
xxx	firms
fst	first
xxx	fiscal
xxx	fit
xxx	five
xxx	fixed
xxx	flat
xxx	floor
xxx	flow
xxx	flowers
flw	follow
xxx	followed
flwg	following
xxx	follows
xxx	food
xxx	foot
f	for
xxx	force
xxx	forced
xxx	forces
xxx	foreign
xxx	forest
fv	forever
fm	form
fml	formal
fmly	formally
fmt	format
fmts	formats
fmtd	formatted
fmtr	formatter
fmtg	formatting
fmd	formed
fmr	former
fmry	formerly
fmg	forming
fms	forms
xxx	formula
xxx	fort
fth	forth
fwd	forward
fwdd	forwarded
fwdg	forwarding
fwds	forwards
fo	found
xxx	four
xxx	fourth
xxx	frame
xxx	france
xxx	frank
xxx	free
xxx	freedom
xxx	french
fqys	frequencies
fqy	frequency
fq	frequent
fqly	frequently
xxx	fresh
xxx	friday
xxx	friend
xxx	friendly
xxx	friends
fr	from
xxx	front
xxx	full
xxx	fully
fn	function
fnl	functional
fny	functionally
fns	functions
fnd	fund
fndl	fundamental
fndy	fundamentally
xxx	funds
frt	further
frtm	futhermore
ftr	future
xxx	gain
xxx	game
xxx	games
xxx	garden
xxx	gas
ga	gave
gen	general
geny	generally
xxx	generation
xxx	george
xxx	german
xxx	germany
ge	get
xxx	gets
gtg	getting
xxx	girl
xxx	girls
gv	give
gvn	given
gvs	gives
gvg	giving
xxx	glass
xxx	go
xxx	goal
xxx	god
gs	goes
gg	going
gn	gone
gd	good
xxx	goods
xxx	got
gvt	government
gvts	governments
xxx	governor
xxx	granted
xxx	gray
gt	great
gtr	greater
gtt	greatest
gty	greatly
xxx	greek
xxx	green
xxx	grew
xxx	gross
xxx	ground
xxx	grounds
gp	group
gps	groups
xxx	grow
xxx	growing
xxx	growth
xxx	guess
xxx	guests
xxx	gun
hd	had
hdt	hadn't
xxx	hair
hf	half
xxx	hall
xxx	hand
xxx	hands
xxx	hanover
hpn	happen
hpnd	happened
hpng	happening
hpnj	happenings
hpns	happens
xxx	happy
xxx	hard
xxx	hardly
hs	has
hst	hasn't
xxx	hat
hv	have
hvt	haven't
hvg	having
g	he
xxx	he'd
xxx	he's
xxx	head
xxx	headed
xxx	headquarters
xxx	health
xxx	hear
hrd	heard
xxx	hearing
xxx	heart
xxx	heat
xxx	heavily
xxx	heavy
hgt	height
xxx	held
xxx	hell
hp	help
hpd	helped
hpr	helper
hpz	helpers
hpf	helpful
hpg	helping
hpl	helpless
hps	helps
xxx	hence
xxx	henry
xxx	her
hr	here
xxx	herself
hi	high
xxx	higher
xxx	highest
xxx	highly
xxx	hill
hm	him
hsf	himself
h	his
xxx	historical
xxx	history
xxx	hit
xxx	hold
xxx	holding
xxx	hole
ho	home
hos	homes
xxx	honor
xxx	hope
xxx	horse
xxx	horses
xxx	hospital
xxx	hot
xxx	hotel
xxx	hour
hrs	hours
hse	house
hsed	housed
hses	houses
hseg	housing
hw	how
hwv	however
xxx	human
xxx	hundred
xxx	hung
xxx	husband
xxx	i
xxx	i'd
xxx	i'll
xxx	i'm
xxx	i've
xxx	idea
xxx	ideal
xxx	ideas
xxx	if
xxx	image
xxx	imagination
xxx	imagine
imm	immediate
immy	immediately
xxx	impact
impc	importance
imp	important
xxx	impossible
xxx	improved
j	in
xxx	inch
xxx	inches
inc	include
incd	included
incs	includes
incg	including
incn	inclusion
incx	inclusions
incv	inclusive
incy	inclusively
xxx	income
inr	increase
inrd	increased
inrs	increases
inrg	increasing
xxx	indeed
xxx	independence
xxx	independent
xxx	index
xxx	india
xxx	indicate
xxx	indicated
xxx	individual
xxx	individuals
xxx	industrial
xxx	industry
xxx	influence
info	information
xxx	informed
xxx	initial
inin	initialization
inix	initializations
ini	initialize
inid	initialized
inis	initializes
inig	initializing
xxx	inside
xxx	instance
xxx	instead
xxx	institutions
xxx	intellectual
xxx	intensity
int	interest
intd	interested
intg	interesting
ints	interests
xxx	interior
xxx	internal
xxx	international
je	into
ino	introduction
inos	introductions
xxx	involved
x	is
xxx	island
xt	isn't
xxx	issue
xxx	issues
l	it
ld	it'd
xxx	it's
xxx	items
xxx	its
isf	itself
xxx	jack
xxx	james
xxx	jazz
xxx	jesus
xxx	jewish
xxx	job
xxx	jobs
xxx	joe
xxx	john
xxx	join
xxx	joined
xxx	jones
xxx	joseph
xxx	jr
xxx	judge
xxx	judgment
xxx	july
xxx	june
xxx	junior
xxx	jury
jt	just
xxx	justice
kp	keep
kpg	keeping
kps	keeps
xxx	kennedy
xxx	kept
xxx	key
xxx	khrushchev
xxx	kid
xxx	kill
xxx	killed
kd	kind
kdy	kindly
kds	kinds
xxx	king
xxx	kitchen
kn	knew
xxx	knife
kw	know
kwb	knowable
kwg	knowing
kwd	knowledge
knn	known
kws	knows
xxx	la
xxx	labor
xxx	lack
xxx	lady
xxx	laid
xxx	land
lng	language
lngs	languages
xxx	laos
lrg	large
xxx	largely
lrgr	larger
lrgt	largest
lst	last
xxx	late
xxx	later
xxx	latter
xxx	law
xxx	laws
xxx	lay
xxx	lead
xxx	leader
xxx	leaders
xxx	leadership
xxx	leading
xxx	league
lrn	learn
lrnd	learned
lrng	learning
lea	least
lve	leave
lves	leaves
lveg	leaving
xxx	led
le	left
xxx	leg
xxx	legal
xxx	legs
lgh	length
ls	less
xxx	let
les	let's
ltr	letter
ltz	letters
ltg	letting
lev	level
levs	levels
xxx	liberal
xxx	library
xxx	lie
lf	life
lt	light
lts	lights
lk	like
lkd	liked
lky	likely
lks	likes
lw	likewise
lkg	liking
xxx	limited
ln	line
lns	lines
xxx	lips
li	list
lis	lists
xxx	literary
xxx	literature
lil	little
lv	live
lvd	lived
lvs	lives
lvg	living
lcl	local
lcly	locally
lcls	locals
xxx	located
xxx	location
xxx	london
lg	long
lgr	longer
lgt	longest
lgg	longing
xxx	look
xxx	looked
xxx	looking
xxx	looks
xxx	lord
xxx	lose
xxx	loss
xxx	lost
xxx	lot
xxx	louis
xxx	love
xxx	loved
lo	low
xxx	lower
lu	lunch
lus	lunches
xxx	machine
xxx	machinery
md	made
xxx	main
xxx	maintain
xxx	maintenance
mj	major
xxx	majority
mk	make
mkr	maker
mks	makes
mkg	making
xxx	man
xxx	man's
mgt	management
mgr	manager
mgz	managers
xxx	manner
mm	many
xxx	march
xxx	mark
xxx	marked
xxx	market
xxx	marriage
xxx	married
xxx	martin
xxx	mary
xxx	mass
xxx	master
mtl	material
mtls	materials
mtr	matter
mtz	matters
max	maximum
ma	may
mb	maybe
xxx	me
mn	mean
mng	meaning
mnf	meaningful
mnj	meanings
mns	means
mnt	meant
xxx	measure
xxx	measured
xxx	medical
mdm	medium
xxx	meet
mtg	meeting
mtgs	meetings
xxx	member
xxx	members
xxx	membership
xxx	memory
xxx	men
xxx	mentioned
xxx	mercer
xxx	merely
msg	message
msgs	messages
xxx	met
xxx	metal
xxx	method
xxx	methods
mdl	middle
mt	might
mty	mighty
xxx	mike
xxx	mile
xxx	miles
xxx	military
xxx	million
xxx	mind
xxx	minds
xxx	mine
min	minimum
xxx	minister
xxx	minor
xxx	minute
mins	minutes
xxx	miss
xxx	mission
msk	mistake
mskn	mistaken
msks	mistakes
mskg	mistaking
xxx	model
mod	modern
mmt	moment
mmts	moments
xxx	monday
xxx	money
xxx	month
xxx	months
xxx	moon
xxx	moral
m	more
xxx	moreover
xxx	morgan
mor	morning
mors	mornings
mo	most
xxx	mother
xxx	motion
xxx	motor
xxx	mouth
mv	move
mvd	moved
mvt	movement
mvr	mover
mvz	movers
mvs	moves
mvg	moving
xxx	mr
xxx	mrs
mh	much
xxx	murder
xxx	music
xxx	musical
mu	must
xxx	my
msf	myself
nm	name
nmd	named
nms	names
nmg	naming
xxx	narrow
ntn	nation
ntnl	national
ntns	nations
ntrl	natural
ntry	naturally
ntr	nature
nr	near
nrr	nearer
nrt	nearest
nry	nearly
ney	necessarily
ne	necessary
xxx	neck
nd	need
ndd	needed
ndg	needing
nds	needs
neg	negative
negs	negatives
xxx	neighborhood
nei	neither
nv	never
nvl	nevertheless
nvm	nevermind
nu	new
nus	news
nup	newspaper
nx	next
nc	nice
ncy	nicely
ncr	nicer
nt	night
nts	nights
xxx	nine
nb	nobody
xxx	none
xxx	nor
nml	normal
nmly	normally
xxx	north
xxx	nose
n	not
xxx	note
xxx	noted
xxx	notes
ng	nothing
xxx	notice
xxx	novel
xxx	november
nw	now
xxx	nuclear
num	number
numd	numbered
numg	numbering
nums	numbers
ock	o'clock
obj	object
objd	objected
objg	objecting
objn	objection
objx	objections
objv	objective
objy	objectively
objvs	objectives
objs	objects
xxx	observed
xxx	obtained
obv	obvious
obvy	obviously
xxx	occasion
xxx	occurred
occ	occurrence
occs	occurrences
o	of
xxx	off
xxx	offer
xxx	offered
ofc	office
ofcr	officer
ofcz	officers
ofcs	offices
ofcl	official
ofcy	officially
ofcls	officials
oft	often
xxx	oh
xxx	oil
ol	old
olr	older
olt	oldest
p	on
oc	once
oe	one
xxx	one's
oes	ones
oy	only
pe	onto
xxx	open
xxx	opened
xxx	opening
xxx	operating
xxx	operation
xxx	operations
xxx	opinion
xxx	opportunity
op	opposite
ops	opposites
opn	opposition
xxx	or
xxx	orchestra
ord	order
ordd	ordered
ordg	ordering
ords	orders
ordy	ordinary
orgn	organization
orgz	organizations
org	organize
orgd	organized
ori	original
oriy	originally
ot	other
ots	others
otw	otherwise
oht	ought
xxx	our
xxx	ourselves
ou	out
oud	outside
ov	over
xxx	own
pkg	package
pkgs	packages
pg	page
pgs	pages
xxx	paid
xxx	pain
xxx	painting
xxx	pale
xxx	palmer
ppr	paper
pprs	papers
xxx	parents
xxx	paris
xxx	park
xxx	parker
pt	part
ptc	particular
ptcy	particularly
xxx	parties
pty	partly
pts	parts
xxx	party
xxx	pass
xxx	passed
xxx	passing
xxx	past
xxx	patient
xxx	pattern
xxx	pay
xxx	peace
peo	people
xxx	per
pct	percent
pctg	percentage
xxx	perfect
xxx	performance
ph	perhaps
pd	period
pds	periods
prm	permanent
prmy	permanently
pmt	permit
pmtd	permitted
psn	person
psnl	personal
psny	personally
xxx	personnel
psns	persons
phs	phase
xxx	philosophy
xxx	physical
pk	pick
pks	picks
pkd	picked
pc	picture
pcs	pictures
xxx	piece
xxx	pieces
plc	place
plcd	placed
plcs	places
plcg	placing
xxx	plan
xxx	plane
xxx	planned
xxx	planning
xxx	plans
xxx	plant
xxx	plants
xxx	platform
xxx	play
xxx	played
xxx	playing
xxx	plays
pl	please
pld	pleased
pls	pleases
plg	pleasing
plr	pleasure
plz	pleasures
xxx	plenty
xxx	plus
xxx	poems
xxx	poet
xxx	poetry
pnt	point
pntd	pointed
pntg	pointing
pntl	pointless
pntr	pointer
pnts	points
pntz	pointers
xxx	police
xxx	policies
xxx	policy
pol	political
poly	politically
xxx	politics
xxx	pool
xxx	poor
pp	popular
ppn	population
ppx	populations
xxx	portion
posn	position
posns	positions
ps	positive
psy	positively
xxx	possibility
poss	possible
possy	possibly
xxx	post
xxx	potential
pwr	power
pwrf	powerful
pwz	powers
xxx	practical
xxx	practice
prf	preference
prfs	preferences
prpn	preparation
prpx	preparations
prp	prepare
prpd	prepared
prps	prepares
prpg	preparing
xxx	presence
pres	present
xxx	presented
xxx	president
xxx	press
xxx	pressure
xxx	pretty
xxx	prevent
prev	previous
prevy	previously
prc	price
prcd	priced
pricing	pricing
prcs	prices
xxx	primarily
xxx	primary
pmv	primitive
pmvs	primitives
xxx	principal
xxx	principle
xxx	principles
pvt	private
pvty	privately
pvts	privates
prbl	probable
prby	probably
prb	problem
prbs	problems
xxx	procedure
xxx	procedures
xxx	process
xxx	processes
prdc	produce
prdcd	produced
prdcg	producing
prd	product
prdn	production
prdx	productions
prdv	productive
prdy	productivity
prds	products
xxx	professional
xxx	professor
prg	program
prgr	programmer
prgz	programmers
prgg	programming
prgs	programs
xxx	progress
prj	project
prjd	projected
prjg	projecting
prjn	projection
prjx	projections
prjs	projects
xxx	proper
xxx	properties
xxx	property
xxx	proposed
xxx	protection
xxx	proved
prv	provide
prvd	provided
xxx	providence
prvs	provides
prvg	providing
pb	public
pby	publicly
xxx	published
xxx	pulled
xxx	pure
xxx	purpose
xxx	purposes
xxx	put
ptg	putting
xxx	quality
qtys	quantities
qty	quantity
qtr	quarter
qtz	quarters
qu	question
qud	questioned
qug	questioning
qus	questions
qk	quick
qkr	quicker
qkt	quickest
qky	quickly
xxx	quiet
qt	quite
xxx	race
xxx	radiation
xxx	radio
xxx	railroad
xxx	rain
xxx	raised
xxx	ran
xxx	range
xxx	rapidly
xxx	rate
xxx	rates
rhr	rather
xxx	reach
xxx	reached
xxx	reaction
rd	read
rdb	readable
rdr	reader
rdz	readers
rdg	reading
rds	reads
rdy	ready
rl	real
rlc	realistic
rlt	reality
rlz	realize
rlzd	realized
rly	really
rsn	reason
rsnb	reasonable
rsnd	reasoned
rsng	reasoning
rsns	reasons
rc	receive
rcd	received
rcr	receiver
rcz	receivers
rcs	receives
rcg	receiving
xxx	recent
xxx	recently
xxx	recognize
xxx	recognized
xxx	record
xxx	records
xxx	reduce
xxx	reduced
rf	reference
rfd	referenced
rfs	references
rfg	referencing
xxx	refused
xxx	regard
xxx	regarded
rgn	region
rg	regular
rgy	regularly
xxx	related
xxx	relation
xxx	relations
xxx	relationship
re	relative
rey	relatively
xxx	relatives
rlf	relief
xxx	religion
xxx	religious
rmn	remain
rmnd	remained
rmns	remains
rem	remember
remd	remembered
rmv	remove
rmvd	removed
rmvs	removes
rmvg	removing
xxx	repeated
rp	replace
rpd	replaced
rps	replaces
rpg	replacing
xxx	replied
rpt	report
rptd	reported
rpts	reports
xxx	represented
rq	require
rqd	required
rqt	requirement
rqts	requirements
rqs	requires
xxx	research
xxx	resolution
xxx	resources
xxx	respect
xxx	response
xxx	responsibility
xxx	responsible
xxx	rest
res	result
ress	results
rtn	return
rtnd	returned
rtng	returning
rvw	review
rvws	reviews
rv	revise
rvd	revised
rvs	revises
rvg	revising
rvn	revision
rvx	revisions
xxx	revolution
xxx	rich
xxx	richard
xxx	rifle
ri	right
ris	rights
xxx	rise
xxx	rising
xxx	river
xxx	road
xxx	roads
xxx	rock
xxx	role
xxx	roman
xxx	rome
xxx	roof
rm	room
rms	rooms
xxx	rose
rn	round
rnd	rounded
rng	rounding
rns	rounds
xxx	rule
xxx	rules
xxx	run
xxx	running
xxx	runs
xxx	safe
sd	said
xxx	sales
xxx	sam
sa	same
xxx	sample
xxx	san
xxx	sat
xxx	saturday
sv	save
svd	saved
svs	saves
svg	saving
svj	savings
xxx	saw
xxx	say
xxx	saying
ss	says
xxx	scale
xxx	scene
shl	school
shls	schools
sci	science
xxx	scientific
xxx	score
xxx	sea
xxx	search
xxx	season
sec	second
secs	seconds
xxx	secret
xxx	secretary
sct	section
scts	sections
xxx	security
xxx	see
xxx	seeing
xxx	seek
xxx	seem
xxx	seemed
xxx	seems
sn	seen
sel	select
seld	selected
selg	selecting
seln	selection
selx	selections
selv	selective
sels	selects
xxx	senate
xxx	send
sns	sense
snss	senses
snsb	sensible
xxx	sensitive
xxx	sent
xxx	separate
xxx	september
xxx	series
ser	serious
sery	seriously
xxx	serve
xxx	served
svc	service
svcs	services
xxx	session
se	set
ses	sets
stg	setting
xxx	settled
xxx	seven
sev	several
xxx	sex
xxx	sexual
sha	shall
xxx	shape
xxx	share
xxx	sharp
xxx	she
xxx	she'd
xxx	shelter
xxx	ship
xxx	shook
xxx	shop
xxx	shore
sht	short
shtr	shorter
shtt	shortest
xxx	shot
shd	should
xxx	shoulder
shdt	shouldn't
xxx	show
xxx	showed
xxx	showing
xxx	shown
xxx	shows
xxx	side
xxx	sides
xxx	sight
xxx	sign
xxx	signal
xxx	significance
xxx	significant
xxx	signs
xxx	similar
xxx	simple
xxx	simply
snc	since
sgl	single
sgls	singles
xxx	sir
xxx	sit
xxx	site
xxx	sitting
xxx	situation
xxx	six
sz	size
szd	sized
szs	sizes
szg	sizing
xxx	sky
xxx	sleep
xxx	slightly
xxx	slow
xxx	slowly
sml	small
smlr	smaller
smlt	smallest
xxx	smile
xxx	smiled
xxx	snow
xxx	so
scl	social
xxx	society
xxx	soft
xxx	soldiers
xxx	solid
xxx	solution
sm	some
